file,category,domain,kb,selectors,important_count,import_order,risk_score,risk_level,risk_reasons
styles/runtime-overrides/09b-telegram-control-center-monitoring.css,runtime-override,Telegram,37.37,176,536,143,14,critical,runtime override imported after index.css; very high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/09c-telegram-template-center-cards.css,runtime-override,Telegram,35.34,163,540,144,14,critical,runtime override imported after index.css; very high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/09e-telegram-accordion-logs-modals.css,runtime-override,"Telegram, Modals",31.12,240,50,154,13,critical,runtime override imported after index.css; high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css,runtime-override,Telegram,24.85,147,439,115,13,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/08c-customers-partners-headers.css,runtime-override,"Partners, Customers, Header",22.03,103,343,139,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/05-mobile-phones.css,runtime-override,Mobile Phones,19.57,135,112,125,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css,runtime-override,"Sidebar, Dashboard, Settings",16.49,64,170,116,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07b-products-modal-responsive-polish.css,runtime-override,"Modals, Products",12.91,113,114,132,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/pages/telegram.css,page-domain,Telegram,60.89,320,263,23,11,critical,very high !important count; large selector surface; sensitive UI/business domain; large file >50KB; active imported CSS
styles/pages/reports.css,page-domain,Reports,58.98,366,355,21,11,critical,very high !important count; large selector surface; sensitive UI/business domain; large file >50KB; active imported CSS
styles/runtime-overrides/09a-telegram-settings-foundation.css,runtime-override,"Telegram, Settings",22.31,131,82,142,11,critical,runtime override imported after index.css; high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10b-finance-tables-density-system.css,runtime-override,Tables,16.77,62,179,156,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/08d-people-table-detail-contracts.css,runtime-override,"People, Tables",16.49,92,240,140,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/01b-people-foundation-after-fields.css,runtime-override,"People, Forms/Inputs",16.25,100,123,104,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/02c-repairs-apple-commercial.css,runtime-override,Repairs,14.62,78,151,107,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/04c-people-detail-pages.css,runtime-override,People,14.31,67,175,120,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/01a5-partner-command-detail-refinement.css,runtime-override,Partners,14.07,87,265,100,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/07a-products-modal-precision-cleanup.css,runtime-override,"Modals, Products",10.98,55,105,131,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css,runtime-override,Telegram,10.94,35,169,153,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/01a4-people-detail-repair-header-filters.css,runtime-override,"People, Header, Repairs, Filters",9.43,52,181,99,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d1-telegram-studio-filter-controls.css,runtime-override,"Telegram, Filters",8.62,45,139,145,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04d-people-add-edit-modals.css,runtime-override,"People, Modals",7.98,45,105,121,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css,runtime-override,Telegram,7.41,24,165,152,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css,runtime-override,Telegram,6.99,31,108,146,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/08b-message-composer-controls.css,runtime-override,General/System,21.57,112,79,138,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06a-enterprise-actions-fields-validation.css,runtime-override,Forms/Inputs,16.76,83,86,126,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06c-reports-consolidation-filters.css,runtime-override,"Reports, Filters",13.0,83,18,128,9,high,runtime override imported after index.css; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07c-product-modal-apple-redesign.css,runtime-override,"Modals, Products",12.62,89,20,133,9,high,runtime override imported after index.css; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/06d-kpi-navigation-density-mobile.css,runtime-override,Navigation,12.51,76,94,129,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css,runtime-override,General/System,12.29,74,56,130,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/02b-settings-telegram-compact.css,runtime-override,"Telegram, Settings",8.55,32,90,106,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02a-reports-apple-minimal.css,runtime-override,Reports,8.44,44,32,105,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03c-notifications-sidebar-smartbrain.css,runtime-override,Sidebar,7.11,36,76,114,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css,runtime-override,"Sidebar, Settings",6.44,47,34,98,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02g-telegram-real-compact-patch.css,runtime-override,Telegram,6.41,39,78,111,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10f-sidebar-final-polish.css,runtime-override,Sidebar,4.26,24,49,160,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03b-reports-mobile-settings-smoke.css,runtime-override,"Reports, Settings",3.99,19,40,113,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d7-telegram-monitor-card-standard.css,runtime-override,Telegram,3.52,14,73,151,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css,runtime-override,Telegram,3.14,11,76,150,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d5-telegram-lower-stat-cards.css,runtime-override,Telegram,3.06,12,69,149,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d4-telegram-studio-cleanup-mini-cards.css,runtime-override,Telegram,2.88,14,55,148,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css,runtime-override,Telegram,2.38,10,45,147,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10e-header-final-polish.css,runtime-override,Header,1.97,12,34,159,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02e-people-commercial-redesign.css,runtime-override,People,14.77,59,187,109,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/legacy/02o-legacy-telegram-link-modal.css,legacy-split,"Telegram, Modals",13.59,87,1,47,8,high,legacy CSS split from historical monolith; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04b-people-list-unification.css,runtime-override,People,13.06,55,151,119,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/runtime-overrides/01a7-shared-primitives-button-system.css,runtime-override,Buttons,10.17,29,144,102,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/runtime-overrides/01a2-people-page-hero-lists.css,runtime-override,People,8.51,42,123,97,8,high,runtime override imported after index.css; very high !important count; active imported CSS
styles/legacy/03f-legacy-header-search-password-fixes.css,legacy-split,Header,3.98,24,39,54,8,high,legacy CSS split from historical monolith; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03f-stable-panels-dashboard-clock.css,runtime-override,"Dashboard, Tables",12.45,50,99,117,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/04g-partner-settlement-timeline-ledger.css,runtime-override,Partners,12.4,74,4,124,7,medium,runtime override imported after index.css; medium selector surface; active imported CSS
styles/runtime-overrides/02d-services-inventory-polish.css,runtime-override,Inventory,9.61,57,96,108,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/07d-product-category-supplier-management.css,runtime-override,Products,9.46,72,21,134,7,medium,runtime override imported after index.css; medium selector surface; active imported CSS
styles/runtime-overrides/04e-people-finance-transaction-modals.css,runtime-override,"People, Modals",9.25,51,24,122,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03a-global-commercial-qa.css,runtime-override,General/System,8.49,28,50,112,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/02f-notifications-commercial-redesign.css,runtime-override,General/System,8.0,52,57,110,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/08a-unified-table-actions.css,runtime-override,Tables,7.7,21,52,137,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/10c-people-filters-mobile-cards.css,runtime-override,"People, Filters",6.93,35,38,157,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/07e-product-list-table-density.css,runtime-override,"Products, Tables",4.83,31,26,135,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/06b-horizontal-forms-modals-header.css,runtime-override,"Modals, Header",4.47,32,6,127,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css,runtime-override,Filters,4.03,19,83,101,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/10a-installments-phone-edit-overrides.css,runtime-override,Mobile Phones,2.92,11,18,155,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04f-partner-phone-product-settlement.css,runtime-override,"Mobile Phones, Partners, Products",2.61,18,0,123,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/08e-finance-modal-polish.css,runtime-override,Modals,2.45,19,14,141,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/legacy/01-legacy-app-base-and-loaders.css,legacy-split,General/System,10.32,75,1,32,6,medium,legacy CSS split from historical monolith; medium selector surface; active imported CSS
styles/legacy/03d-legacy-premium-tabs-inventory-detail.css,legacy-split,Inventory,6.7,68,0,52,6,medium,legacy CSS split from historical monolith; medium selector surface; active imported CSS
styles/legacy/02l-legacy-wizard-table-quicklinks-installments.css,legacy-split,Tables,5.87,87,0,44,6,medium,legacy CSS split from historical monolith; medium selector surface; active imported CSS
styles/legacy/02j-legacy-report-toolbar-filters.css,legacy-split,"Reports, Filters",3.76,38,0,42,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/09c-legacy-global-nav-sidebar-topbar.css,legacy-split,"Sidebar, Navigation",3.67,12,0,75,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/09a-legacy-global-modal-drawer-unification.css,legacy-split,Modals,3.3,15,0,73,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/02b-legacy-premium-modal-base.css,legacy-split,Modals,2.18,24,2,34,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06a-legacy-sales-flow-visual-pass.css,legacy-split,Sales/Cart,2.04,18,0,64,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/03e-legacy-sidebar-transparent-cleanup.css,legacy-split,Sidebar,1.84,10,20,53,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/10f-legacy-phone-edit-horizontal-modal.css,legacy-split,"Mobile Phones, Modals",1.76,7,8,82,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/10d-legacy-telegram-modal-stability-lux.css,legacy-split,"Telegram, Modals",1.36,11,11,80,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/05d-legacy-report-filter-sales-mobile-buttons.css,legacy-split,"Reports, Sales/Cart, Buttons, Filters",1.35,7,0,63,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css,legacy-split,Mobile Phones,1.28,5,13,81,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/02a-legacy-reports-kpi-table-foundation.css,legacy-split,"Reports, Tables",0.94,22,0,33,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06b-legacy-sales-cart-button-borders.css,legacy-split,"Sales/Cart, Buttons",0.83,8,1,65,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/03b-legacy-report-tools-pagination.css,legacy-split,Reports,0.6,12,0,50,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06c-legacy-sales-cart-premium-cleanup.css,legacy-split,Sales/Cart,0.57,4,2,66,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/06d-legacy-sales-cart-full-page-redesign.css,legacy-split,Sales/Cart,0.5,3,3,67,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/pages/partners.css,page-domain,Partners,12.46,107,32,27,5,medium,high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/04a-people-empty-states.css,runtime-override,People,7.96,52,2,118,5,medium,runtime override imported after index.css; active imported CSS
styles/components/modals.css,component-shared,Modals,7.23,43,43,84,5,medium,high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07f-cross-module-density-pass.css,runtime-override,General/System,2.94,24,23,136,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/10g-layout-shell-final-qa.css,runtime-override,General/System,2.24,16,20,161,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/01a1-people-table-action-baseline.css,runtime-override,"People, Tables",1.6,9,12,96,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/10d-financial-status-badges.css,runtime-override,General/System,0.42,4,0,158,5,medium,runtime override imported after index.css; active imported CSS
styles/components/unified-fields.css,component-shared,Forms/Inputs,15.65,51,127,103,4,low,very high !important count; active imported CSS
styles/legacy/02k-legacy-cards-toasts-feedback-loading.css,legacy-split,Toasts,7.53,58,2,43,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02h-legacy-ux-button-motion-presets.css,legacy-split,Buttons,7.23,28,0,40,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/03g-legacy-dark-tables-loading-progress.css,legacy-split,Tables,6.61,50,0,55,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04c-legacy-motion-focus-accessibility.css,legacy-split,General/System,4.26,18,5,58,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02i-legacy-people-list-controls-fields.css,legacy-split,"People, Forms/Inputs",4.08,38,0,41,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02g-legacy-ux-button-core-loading.css,legacy-split,Buttons,3.79,32,1,39,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/08c-legacy-global-table-row-actions.css,legacy-split,Tables,3.65,18,0,72,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/08a-legacy-global-field-system.css,legacy-split,Forms/Inputs,3.42,15,10,70,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/09b-legacy-global-toast-alert-status.css,legacy-split,Toasts,3.37,16,7,74,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/09d-legacy-global-charts-kpi-dashboard.css,legacy-split,"Dashboard, Charts",3.14,13,7,76,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/07b-legacy-premium-button-unification.css,legacy-split,Buttons,3.11,14,24,69,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/08b-legacy-global-card-section-system.css,legacy-split,General/System,2.76,10,0,71,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04b-legacy-premium-data-chart-shell.css,legacy-split,Charts,2.72,37,0,57,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05c-legacy-unified-button-hardening.css,legacy-split,Buttons,2.38,18,0,62,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/03a-legacy-action-primitives-buttons.css,legacy-split,Buttons,2.27,18,0,49,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/03c-legacy-form-empty-density.css,legacy-split,General/System,2.27,25,0,51,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02c-legacy-detail-drawer-primitives.css,legacy-split,General/System,2.07,32,0,35,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05a-legacy-button-icon-baseline.css,legacy-split,Buttons,1.79,11,0,60,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/07a-legacy-button-stroke-normalization.css,legacy-split,Buttons,1.79,6,6,68,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02n-legacy-customers-hero-toolbar.css,legacy-split,Customers,1.68,26,0,46,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04a-legacy-repairs-saved-views-inputs.css,legacy-split,"Forms/Inputs, Repairs",1.67,9,5,56,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/04d-legacy-field-attention-page-actions.css,legacy-split,Forms/Inputs,1.67,14,2,59,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/05b-legacy-quick-link-cards.css,legacy-split,General/System,1.46,10,0,61,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02f-legacy-page-shell-modern.css,legacy-split,General/System,1.36,12,0,38,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02p-legacy-people-action-buttons-chips.css,legacy-split,"People, Buttons",1.1,21,0,48,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02e-legacy-smart-tooltip-transitions.css,legacy-split,General/System,1.07,4,0,37,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02d-legacy-detail-compact-density.css,legacy-split,General/System,0.91,7,0,36,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10a-legacy-final-shell-cohesion.css,legacy-split,General/System,0.88,7,0,77,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10b-legacy-targeted-ui-qa-cleanup.css,legacy-split,General/System,0.71,5,0,78,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02m-legacy-accessibility-focus-transition-base.css,legacy-split,General/System,0.29,2,0,45,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/10c-legacy-smart-toast-progress.css,legacy-split,Toasts,0.26,3,0,79,4,low,legacy CSS split from historical monolith; active imported CSS
styles/components/cards.css,component-shared,General/System,13.57,84,2,18,3,low,medium selector surface; active imported CSS
styles/components/forms.css,component-shared,General/System,11.51,74,4,83,3,low,medium selector surface; active imported CSS
styles/components/unified-buttons.css,component-shared,Buttons,8.39,26,94,95,3,low,high !important count; active imported CSS
styles/components/filters.css,component-shared,Filters,7.25,62,1,20,3,low,medium selector surface; active imported CSS
styles/layout/sidebar-chrome.css,layout-system,Sidebar,2.08,11,0,90,3,low,sensitive UI/business domain; active imported CSS
styles/layout/sidebar.css,layout-system,Sidebar,0.54,4,0,12,3,low,sensitive UI/business domain; active imported CSS
styles/pages/mobile-phones.css,page-domain,Mobile Phones,0.2,0,0,28,3,low,sensitive UI/business domain; active imported CSS
styles/components/tables.css,component-shared,Tables,7.73,28,0,17,1,low,active imported CSS
styles/components/badges.css,component-shared,General/System,7.37,47,0,85,1,low,active imported CSS
styles/components/toolbars.css,component-shared,General/System,6.45,39,0,19,1,low,active imported CSS
styles/pages/settings.css,page-domain,Settings,6.19,33,0,24,1,low,active imported CSS
index.css,entry-orchestrator,General/System,5.82,3,2,3,1,low,active imported CSS
styles/core/animations.css,core-foundation,General/System,4.61,45,1,9,1,low,active imported CSS
styles/components/button-normalization.css,component-shared,Buttons,4.15,13,0,87,1,low,active imported CSS
styles/layout/print.css,layout-system,General/System,2.95,21,3,15,1,low,active imported CSS
styles/components/detail.css,component-shared,General/System,2.6,14,0,86,1,low,active imported CSS
styles/themes.css,other,General/System,2.33,6,0,4,1,low,active imported CSS
styles/components/toasts.css,component-shared,Toasts,2.18,17,0,88,1,low,active imported CSS
styles/pages/repairs.css,page-domain,Repairs,1.82,9,0,29,1,low,active imported CSS
styles/pages/dashboard.css,page-domain,Dashboard,1.75,17,0,22,1,low,active imported CSS
styles/core/utilities.css,core-foundation,General/System,1.69,11,0,10,1,low,active imported CSS
styles/components/empty-states.css,component-shared,General/System,1.61,13,0,89,1,low,active imported CSS
styles/layout/print-shells.css,layout-system,General/System,1.32,7,7,94,1,low,active imported CSS
styles/pages/customers-shell.css,page-domain,Customers,0.96,8,0,91,1,low,active imported CSS
styles/components/detail-hero.css,component-shared,General/System,0.82,4,0,93,1,low,active imported CSS
styles/pages/customers.css,page-domain,Customers,0.78,7,0,26,1,low,active imported CSS
styles/pages/settings-overrides.css,page-domain,Settings,0.44,1,0,92,1,low,active imported CSS
styles/pages/inventory.css,page-domain,Inventory,0.4,2,0,25,1,low,active imported CSS
styles/layout/responsive.css,layout-system,General/System,0.3,2,1,14,1,low,active imported CSS
styles/pages/purchases.css,page-domain,General/System,0.2,0,0,30,1,low,active imported CSS
styles/core/typography.css,core-foundation,General/System,0.1,0,0,8,1,low,active imported CSS
styles/core/tokens.css,core-foundation,General/System,0.09,0,0,6,1,low,active imported CSS
styles/core/base.css,core-foundation,General/System,0.08,0,0,7,1,low,active imported CSS
styles/components/buttons.css,component-shared,Buttons,0.08,0,0,16,1,low,active imported CSS
styles/layout/app-shell.css,layout-system,General/System,0.08,0,0,11,1,low,active imported CSS
styles/layout/page-shell.css,layout-system,General/System,0.08,0,0,13,1,low,active imported CSS
styles/vendors/overrides.css,vendor-override,General/System,0.08,0,0,31,1,low,active imported CSS
styles/global.css,other,General/System,2.86,13,11,,0,low,
