selector,occurrences,file_count,categories,domains,risk_score,files
:root,30,23,component-shared | entry-orchestrator | legacy-split | other | runtime-override,"Buttons | Dashboard, Charts | Forms/Inputs | General/System | Modals",12,index.css | styles/components/unified-buttons.css | styles/components/unified-fields.css | styles/global.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/07b-legacy-premium-button-unification.css | styles/legacy/08a-legacy-global-field-system.css | styles/legacy/08b-legacy-global-card-section-system.css | styles/legacy/08c-legacy-global-table-row-actions.css | styles/legacy/09a-legacy-global-modal-drawer-unification.css | styles/legacy/09b-legacy-global-toast-alert-status.css | styles/legacy/09c-legacy-global-nav-sidebar-topbar.css | styles/legacy/09d-legacy-global-charts-kpi-dashboard.css | styles/legacy/10a-legacy-final-shell-cohesion.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-btn__content,7,7,component-shared | legacy-split | runtime-override,"Buttons | People, Forms/Inputs | Reports, Sales/Cart, Buttons, Filters",11,styles/components/unified-buttons.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/05a-legacy-button-icon-baseline.css | styles/legacy/05d-legacy-report-filter-sales-mobile-buttons.css | styles/legacy/07b-legacy-premium-button-unification.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
".phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__grid, .phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__grid",6,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",11,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
".installment-form-page .installment-clean-select, .installment-form-page select.installment-clean-select",5,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Mobile Phones,11,styles/components/unified-fields.css | styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
100%,17,8,core-foundation | legacy-split | runtime-override,Buttons | Forms/Inputs | General/System | Tables,10,styles/core/animations.css | styles/core/utilities.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/03g-legacy-dark-tables-loading-progress.css | styles/legacy/04c-legacy-motion-focus-accessibility.css | styles/legacy/04d-legacy-field-attention-page-actions.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
0%,14,7,core-foundation | legacy-split | runtime-override,Buttons | Forms/Inputs | General/System,10,styles/core/animations.css | styles/core/utilities.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/04c-legacy-motion-focus-accessibility.css | styles/legacy/04d-legacy-field-attention-page-actions.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
#telegram-settings-form .telegram-monitor-v2-action,10,6,runtime-override,"Telegram | Telegram, Filters",10,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-actions-grid,9,4,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-template-mode-buttons,9,3,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css
.phone-table-action-btn,8,3,runtime-override,"General/System | Modals, Products",9,styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-action__value,8,6,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__copy,8,5,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
.premium-modal-shell .premium-form-grid,7,2,runtime-override,"Modals, Products",9,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-action__icon,7,6,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__state,7,6,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__label,7,5,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
.phone-addable-autocomplete__menu,6,3,runtime-override,"Mobile Phones | People, Forms/Inputs | Reports, Settings",9,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css | styles/runtime-overrides/05-mobile-phones.css
.premium-modal-shell .premium-form-section,6,2,runtime-override,"Modals, Products",9,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-studio-mini-card,6,5,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d4-telegram-studio-cleanup-mini-cards.css | styles/runtime-overrides/09d5-telegram-lower-stat-cards.css | styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css
#telegram-settings-form .telegram-studio-filter-row,6,3,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css
.report-date-presets,5,2,page-domain | runtime-override,"People, Forms/Inputs | Reports",9,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.report-date-presets__chips,5,2,page-domain | runtime-override,"People, Forms/Inputs | Reports",9,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
#telegram-settings-form .tg-apple-check-row,5,3,page-domain | runtime-override,"Telegram | Telegram, Settings",9,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
"#telegram-settings-form .telegram-monitor-v2-action__copy, #telegram-settings-form .telegram-monitor-v2-checkcard__copy",5,2,runtime-override,Telegram,9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
#telegram-settings-form .telegram-monitor-v2-action__top,5,5,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-template-status-grid,5,2,runtime-override,Telegram,9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d5-telegram-lower-stat-cards.css
".phone-identity-block--edit .phone-identity-block__grid, .phone-finance-block--edit .phone-finance-block__grid, .phone-operations-block--edit .phone-operations-block__grid",3,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Mobile Phones,9,styles/components/unified-fields.css | styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
".phone-identity-block--edit .phone-identity-block__grid > *, .phone-finance-block--edit .phone-finance-block__grid > *, .phone-operations-block--edit .phone-operations-block__grid > *",3,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Mobile Phones,9,styles/components/unified-fields.css | styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-vertical-form,3,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Mobile Phones,9,styles/components/unified-fields.css | styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-operations-block--edit .phone-operations-block__grid,3,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",9,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
".phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__grid > *, .phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__grid > *, .phone-edit-horizontal-form .phone-operations-block--edit .phone-operations-block__grid > *",3,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",9,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
".phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__field--model, .phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__field--imei, .phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__field--supplier, .phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__field--status",3,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",9,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
.phone-edit-horizontal-form .phone-operations-block--edit .phone-operations-block__field--notes,3,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",9,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
".phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__grid > *, .phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__grid > *",3,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",9,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
to,8,6,component-shared | legacy-split | page-domain,Buttons | General/System | Reports | Toasts,8,styles/components/unified-buttons.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/03a-legacy-action-primitives-buttons.css | styles/legacy/10c-legacy-smart-toast-progress.css | styles/pages/reports.css
".ux-nav-compact li > button > div, .ux-nav-compact li > a > div",5,4,layout-system | legacy-split | page-domain,Customers | Sidebar | Telegram,8,styles/layout/sidebar-chrome.css | styles/legacy/03e-legacy-sidebar-transparent-cleanup.css | styles/pages/customers.css | styles/pages/telegram.css
.phone-card-specs-row,7,1,runtime-override,"Modals, Products",7,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.people-stats-grid,6,3,runtime-override,People,7,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
"#telegram-settings-form .tg-apple-setup-card__inner, #telegram-settings-form .telegram-monitor-v2-action",6,1,runtime-override,Telegram,7,styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.people-top-nav__item,5,3,runtime-override,People,7,styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.phone-card-spec-pill,5,1,runtime-override,"Modals, Products",7,styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-card-footer,5,1,runtime-override,"Modals, Products",7,styles/runtime-overrides/07b-products-modal-responsive-polish.css
"#telegram-settings-form .tg-apple-setup-card, #telegram-settings-form .telegram-monitor-v2-action",5,1,runtime-override,Telegram,7,styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.report-filter-grid,4,2,component-shared | runtime-override,"Filters | Reports, Filters",7,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
18%,4,3,legacy-split | runtime-override,Buttons | Forms/Inputs,7,styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/04d-legacy-field-attention-page-actions.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.people-filter-chip,4,4,legacy-split | page-domain | runtime-override,"Partners | People | People, Forms/Inputs",7,styles/legacy/02i-legacy-people-list-controls-fields.css | styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css
.settings-sidebar,4,4,legacy-split | page-domain | runtime-override,"General/System | Settings | Sidebar, Settings",7,styles/legacy/04c-legacy-motion-focus-accessibility.css | styles/pages/settings-overrides.css | styles/pages/settings.css | styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css
.report-date-presets__label,4,2,page-domain | runtime-override,"People, Forms/Inputs | Reports",7,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.report-date-preset-chip,4,2,page-domain | runtime-override,"People, Forms/Inputs | Reports",7,styles/pages/reports.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
"[id^=""tg-anchor-""], [id^=""tg-item-""], [id^=""tg-audience-""]",4,2,page-domain | runtime-override,"Telegram | Telegram, Settings",7,styles/pages/telegram.css | styles/runtime-overrides/02b-settings-telegram-compact.css
#telegram-settings-form .tg-apple-check-row__body,4,3,page-domain | runtime-override,"Telegram | Telegram, Settings",7,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-check-row__icon,4,3,page-domain | runtime-override,"Telegram | Telegram, Settings",7,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-queue-panel,4,3,page-domain | runtime-override,"Telegram | Telegram, Settings",7,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
.phone-addable-autocomplete,4,3,runtime-override,"Mobile Phones | People, Forms/Inputs | Reports, Settings",7,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css | styles/runtime-overrides/05-mobile-phones.css
.phone-addable-autocomplete:focus-within,4,2,runtime-override,"People, Forms/Inputs | Reports, Settings",7,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css
".phone-inventory-table-v2 th:nth-child(4), .phone-inventory-table-v2 td:nth-child(4)",4,3,runtime-override,"Forms/Inputs | Modals, Products",7,styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
.phone-table-inline-actions,4,3,runtime-override,"General/System | Modals, Products",7,styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
"#telegram-settings-form .telegram-monitor-v2-action, #telegram-settings-form .telegram-monitor-v2-checkcard",4,2,runtime-override,Telegram,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css
.report-filter-grid--compact,3,2,component-shared | runtime-override,"Filters | Reports, Filters",7,styles/components/filters.css | styles/runtime-overrides/06c-reports-consolidation-filters.css
".ux-btn__content, .ux-btn__label, .ux-btn__label-main",3,3,component-shared | legacy-split | runtime-override,Buttons,7,styles/components/unified-buttons.css | styles/legacy/05c-legacy-unified-button-hardening.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css
.header-search-shell,3,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Header,7,styles/components/unified-fields.css | styles/legacy/03f-legacy-header-search-password-fixes.css | styles/runtime-overrides/10e-header-final-polish.css
.header-search-input,3,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Header,7,styles/components/unified-fields.css | styles/legacy/03f-legacy-header-search-password-fixes.css | styles/runtime-overrides/10e-header-final-polish.css
.ux-btn__label,3,3,legacy-split | runtime-override,"Buttons | People, Forms/Inputs",7,styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/05a-legacy-button-icon-baseline.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.settings-mobile-tab,3,3,page-domain | runtime-override,"Settings | Sidebar, Settings | Telegram, Settings",7,styles/pages/settings.css | styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
#telegram-settings-form .tg-apple-check-row__icon i,3,2,page-domain | runtime-override,Telegram,7,styles/pages/telegram.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-queue-toolbar,3,3,page-domain | runtime-override,"Telegram | Telegram, Settings",7,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
#telegram-settings-form .tg-apple-queue-btn,3,3,page-domain | runtime-override,"Telegram | Telegram, Settings",7,styles/pages/telegram.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css
".settings-sidebar .settings-tab-item[data-active=""true""], .settings-sidebar button.settings-tab-item[data-active=""true""]",3,3,runtime-override,"People, Forms/Inputs | Sidebar, Dashboard, Settings | Telegram, Settings",7,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.dark .phone-addable-autocomplete__menu,3,2,runtime-override,"People, Forms/Inputs | Reports, Settings",7,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css
".app-sidebar .ux-sidebar-list .sidebar-nav-row[data-sidebar-active=""true""] > span:last-child",3,3,runtime-override,"Sidebar | Sidebar, Dashboard, Settings | Telegram, Settings",7,styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/09a-telegram-settings-foundation.css | styles/runtime-overrides/10f-sidebar-final-polish.css
.people-finance-modal__balance,3,2,runtime-override,"People, Modals | People, Tables",7,styles/runtime-overrides/04e-people-finance-transaction-modals.css | styles/runtime-overrides/08d-people-table-detail-contracts.css
.people-ledger-type-card,3,2,runtime-override,"Modals | People, Modals",7,styles/runtime-overrides/04e-people-finance-transaction-modals.css | styles/runtime-overrides/08e-finance-modal-polish.css
".phone-inventory-table-v2 th, .phone-inventory-table-v2 td",3,2,runtime-override,Forms/Inputs | Mobile Phones,7,styles/runtime-overrides/05-mobile-phones.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.phone-inventory-table-v2 .phone-table-actions-menu,3,2,runtime-override,Forms/Inputs | Mobile Phones,7,styles/runtime-overrides/05-mobile-phones.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.report-local-filter-pill,3,2,runtime-override,"Navigation | Reports, Filters",7,styles/runtime-overrides/06c-reports-consolidation-filters.css | styles/runtime-overrides/06d-kpi-navigation-density-mobile.css
